Model,Emotion,Hamming Loss,F1 Micro,F1 Macro,Precision Micro,Recall Micro
LSTM Word Embeddings,joy,0.09956331877729258,0.9004366812227074,0.7918500516667304,0.9004366812227074,0.9004366812227074
LSTM Word Embeddings,sadness,0.15196506550218342,0.8480349344978166,0.7183216079265258,0.8480349344978166,0.8480349344978166
LSTM Word Embeddings,guilt,0.14148471615720523,0.8585152838427947,0.6744098689845954,0.8585152838427947,0.8585152838427947
LSTM Word Embeddings,disgust,0.15633187772925763,0.8436681222707424,0.7056804653854494,0.8436681222707424,0.8436681222707424
LSTM Word Embeddings,shame,0.19563318777292577,0.8043668122270743,0.6580376094631639,0.8043668122270743,0.8043668122270743
LSTM Word Embeddings,fear,0.10655021834061135,0.8934497816593886,0.7748620387323035,0.8934497816593886,0.8934497816593886
LSTM Word Embeddings,anger,0.16681222707423582,0.8331877729257642,0.6503347238188734,0.8331877729257642,0.8331877729257642
Bi-LSTM Word Embeddings,joy,0.09868995633187773,0.9013100436681223,0.7620063680794041,0.9013100436681223,0.9013100436681223
Bi-LSTM Word Embeddings,sadness,0.14323144104803492,0.856768558951965,0.7221433052783598,0.856768558951965,0.856768558951965
Bi-LSTM Word Embeddings,guilt,0.14148471615720523,0.8585152838427947,0.6994341603795597,0.8585152838427947,0.8585152838427947
Bi-LSTM Word Embeddings,disgust,0.15196506550218342,0.8480349344978166,0.6888314820136694,0.8480349344978166,0.8480349344978166
Bi-LSTM Word Embeddings,shame,0.14148471615720523,0.8585152838427947,0.683908633593718,0.8585152838427947,0.8585152838427947
Bi-LSTM Word Embeddings,fear,0.10393013100436681,0.8960698689956332,0.7571510812395623,0.8960698689956332,0.8960698689956332
Bi-LSTM Word Embeddings,anger,0.16943231441048034,0.8305676855895197,0.6400631303310778,0.8305676855895197,0.8305676855895197
LSTM BERT,joy,0.039301310043668124,0.9606986899563319,0.9129529109458864,0.9606986899563319,0.9606986899563319
LSTM BERT,sadness,0.06899563318777292,0.9310043668122271,0.833615071489141,0.9310043668122271,0.9310043668122271
LSTM BERT,guilt,0.0890829694323144,0.9109170305676856,0.7998169402278992,0.9109170305676856,0.9109170305676856
LSTM BERT,disgust,0.08471615720524017,0.9152838427947598,0.8195441200125433,0.9152838427947598,0.9152838427947598
LSTM BERT,shame,0.10131004366812227,0.8986899563318778,0.7483516483516484,0.8986899563318778,0.8986899563318778
LSTM BERT,fear,0.06637554585152838,0.9336244541484716,0.8589938036348552,0.9336244541484716,0.9336244541484716
LSTM BERT,anger,0.12314410480349346,0.8768558951965065,0.7681617073706613,0.8768558951965065,0.8768558951965065
LSTM TF-IDF,joy,0.08733624454148471,0.9126637554585153,0.787326517875717,0.9126637554585153,0.9126637554585153
LSTM TF-IDF,sadness,0.08646288209606987,0.9135371179039301,0.7721145669362572,0.9135371179039301,0.9135371179039301
LSTM TF-IDF,guilt,0.11965065502183406,0.880349344978166,0.6676370693837943,0.880349344978166,0.880349344978166
LSTM TF-IDF,disgust,0.11528384279475982,0.8847161572052402,0.7210903937286859,0.8847161572052402,0.8847161572052402
LSTM TF-IDF,shame,0.1222707423580786,0.8777292576419214,0.6693099863020482,0.8777292576419214,0.8777292576419214
LSTM TF-IDF,fear,0.08384279475982533,0.9161572052401746,0.8058828515724337,0.9161572052401746,0.9161572052401746
LSTM TF-IDF,anger,0.1406113537117904,0.8593886462882097,0.6320642682500873,0.8593886462882097,0.8593886462882097
LSTM GloVe,joy,0.10218340611353711,0.8978165938864628,0.7954498606710692,0.8978165938864628,0.8978165938864628
LSTM GloVe,sadness,0.09519650655021834,0.9048034934497816,0.7526757705287731,0.9048034934497816,0.9048034934497816
LSTM GloVe,guilt,0.11353711790393013,0.8864628820960698,0.6783596667127645,0.8864628820960698,0.8864628820960698
LSTM GloVe,disgust,0.11091703056768559,0.8890829694323145,0.735916867795896,0.8890829694323145,0.8890829694323145
LSTM GloVe,shame,0.11790393013100436,0.8820960698689956,0.6774856503804657,0.8820960698689956,0.8820960698689956
LSTM GloVe,fear,0.10131004366812227,0.8986899563318778,0.7709999999999999,0.8986899563318778,0.8986899563318778
LSTM GloVe,anger,0.13100436681222707,0.868995633187773,0.6966919555819275,0.868995633187773,0.868995633187773
