Model,Emotion,Hamming Loss,F1 Score,Precision,Recall,F1 Micro,F1 Macro,Precision Micro,Recall Micro
LSTM Word Embeddings,joy,0.09781659388646288,0.6477987421383647,0.6602564102564102,0.6358024691358025,0.9021834061135371,0.7955018051462615,0.9021834061135371,0.9021834061135371
LSTM Word Embeddings,fear,0.10480349344978165,0.6178343949044586,0.6466666666666666,0.5914634146341463,0.8951965065502183,0.7785528249825937,0.8951965065502183,0.8951965065502183
LSTM Word Embeddings,shame,0.19563318777292577,0.43434343434343436,0.3706896551724138,0.524390243902439,0.8043668122270743,0.6580376094631639,0.8043668122270743,0.8043668122270743
LSTM Word Embeddings,disgust,0.1554585152838428,0.5082872928176796,0.48677248677248675,0.5317919075144508,0.8445414847161572,0.7079818206826987,0.8445414847161572,0.8445414847161572
LSTM Word Embeddings,guilt,0.14148471615720523,0.4295774647887324,0.4728682170542636,0.3935483870967742,0.8585152838427947,0.6744098689845954,0.8585152838427947,0.8585152838427947
LSTM Word Embeddings,anger,0.16681222707423582,0.39747634069400634,0.44680851063829785,0.35795454545454547,0.8331877729257642,0.6503347238188734,0.8331877729257642,0.8331877729257642
LSTM Word Embeddings,sadness,0.15021834061135372,0.532608695652174,0.45161290322580644,0.6490066225165563,0.8497816593886462,0.721559290594037,0.8497816593886462,0.8497816593886462
Bi-LSTM Word Embeddings,joy,0.09694323144104804,0.587360594795539,0.7383177570093458,0.4876543209876543,0.903056768558952,0.7662186447505652,0.903056768558952,0.903056768558952
Bi-LSTM Word Embeddings,fear,0.10218340611353711,0.5806451612903226,0.7043478260869566,0.49390243902439024,0.8978165938864628,0.7612325756725109,0.8978165938864628,0.8978165938864628
Bi-LSTM Word Embeddings,shame,0.14148471615720523,0.4489795918367347,0.5076923076923077,0.4024390243902439,0.8585152838427947,0.683908633593718,0.8585152838427947,0.8585152838427947
Bi-LSTM Word Embeddings,disgust,0.15109170305676856,0.4709480122324159,0.5,0.44508670520231214,0.8489082969432314,0.691408799799346,0.8489082969432314,0.8489082969432314
