Model,Emotion,Hamming Loss,F1 Score,Precision,Recall,F1 Micro,F1 Macro,Precision Micro,Recall Micro
Sequential NN with word2vec and dropout,joy,0.17117903930131004,0.010101010101010102,0.027777777777777776,0.006172839506172839,0.8288209606986899,0.45820538076752226,0.8288209606986899,0.8288209606986899
Sequential NN with word2vec and dropout,fear,0.2724890829694323,0.11363636363636363,0.10638297872340426,0.12195121951219512,0.7275109170305677,0.47632282578103013,0.7275109170305677,0.7275109170305677
Sequential NN with word2vec and dropout,shame,0.2480349344978166,0.1744186046511628,0.16666666666666666,0.18292682926829268,0.7519650655021834,0.5142391070532278,0.7519650655021834,0.7519650655021834
Sequential NN with word2vec and dropout,disgust,0.4550218340611354,0.1637239165329053,0.11333333333333333,0.2947976878612717,0.5449781659388646,0.4255932120157028,0.5449781659388646,0.5449781659388646
Sequential NN with word2vec and dropout,guilt,0.13537117903930132,0.0,0.0,0.0,0.8646288209606987,0.4637002341920375,0.8646288209606987,0.8646288209606987
Sequential NN with word2vec and dropout,anger,0.1589519650655022,0.010869565217391304,0.125,0.005681818181818182,0.8410480349344979,0.4622249060654858,0.8410480349344979,0.8410480349344979
Sequential NN with word2vec and dropout,sadness,0.3423580786026201,0.0967741935483871,0.07420494699646643,0.1390728476821192,0.6576419213973799,0.4427836484983315,0.6576419213973799,0.6576419213973799
Sequential NN with word2vec and tf-idf,joy,0.36681222707423583,0.18604651162790697,0.13559322033898305,0.2962962962962963,0.6331877729257642,0.4746467056448441,0.6331877729257642,0.6331877729257642
Sequential NN with word2vec and tf-idf,fear,0.2986899563318777,0.12307692307692308,0.10619469026548672,0.14634146341463414,0.7013100436681222,0.4715384615384615,0.7013100436681222,0.7013100436681222
Sequential NN with word2vec and tf-idf,shame,0.2497816593886463,0.11180124223602485,0.11392405063291139,0.10975609756097561,0.7502183406113537,0.48323801949199613,0.7502183406113537,0.7502183406113537
Sequential NN with word2vec and tf-idf,disgust,0.3266375545851528,0.1762114537444934,0.1423487544483986,0.23121387283236994,0.6733624454148471,0.48625387502039485,0.6733624454148471,0.6733624454148471
Sequential NN with word2vec and tf-idf,guilt,0.13624454148471615,0.0,0.0,0.0,0.8637554585152838,0.46344892221180883,0.8637554585152838,0.8637554585152838
Sequential NN with word2vec and tf-idf,anger,0.1554585152838428,0.0,0.0,0.0,0.8445414847161572,0.4578598484848485,0.8445414847161572,0.8445414847161572
Sequential NN with word2vec and tf-idf,sadness,0.2200873362445415,0.08029197080291971,0.08943089430894309,0.0728476821192053,0.7799126637554585,0.47764598540145986,0.7799126637554585,0.7799126637554585
Sequential NN with Glove,joy,0.35458515283842795,0.08968609865470852,0.07042253521126761,0.12345679012345678,0.645414847161572,0.43475628143147577,0.645414847161572,0.645414847161572
Sequential NN with Glove,fear,0.2331877729257642,0.09491525423728814,0.10687022900763359,0.08536585365853659,0.7668122270742358,0.4805403338855614,0.7668122270742358,0.7668122270742358
Sequential NN with Glove,shame,0.21921397379912663,0.052830188679245285,0.06930693069306931,0.042682926829268296,0.7807860262008733,0.4644397856976473,0.7807860262008733,0.7807860262008733
Sequential NN with Glove,disgust,0.2410480349344978,0.02127659574468085,0.027522935779816515,0.017341040462427744,0.7589519650655022,0.4419131982707468,0.7589519650655022,0.7589519650655022
Sequential NN with Glove,guilt,0.25676855895196504,0.02,0.020689655172413793,0.01935483870967742,0.743231441048035,0.43613065326633166,0.743231441048035,0.743231441048035
Sequential NN with Glove,anger,0.23580786026200873,0.06896551724137931,0.08771929824561403,0.056818181818181816,0.7641921397379913,0.46698275862068966,0.7641921397379913,0.7641921397379913
Sequential NN with Glove,sadness,0.33362445414847164,0.07281553398058252,0.05747126436781609,0.09933774834437085,0.6663755458515284,0.4347038266282039,0.6663755458515284,0.6663755458515284
